CAPB;Bin;Frequency;Category;Percent of sample
3-year adjustment;Less;37;1;8.447488584
3-year adjustment;-4.5;8;2;1.826484018
3-year adjustment;-4;7;3;1.598173516
3-year adjustment;-3.5;14;4;3.196347032
3-year adjustment;-3;5;5;1.141552511
3-year adjustment;-2.5;15;6;3.424657534
3-year adjustment;-2;11;7;2.511415525
3-year adjustment;-1.5;16;8;3.652968037
3-year adjustment;-1;31;9;7.077625571
3-year adjustment;-0.5;20;10;4.566210046
3-year adjustment;0;26;11;5.936073059
3-year adjustment;0.5;35;12;7.99086758
3-year adjustment;1;27;13;6.164383562
3-year adjustment;1.5;39;14;8.904109589
3-year adjustment;2;24;15;5.479452055
3-year adjustment;2.5;22;16;5.02283105
3-year adjustment;3;11;17;2.511415525
3-year adjustment;3.5;13;18;2.96803653
3-year adjustment;4;13;19;2.96803653
3-year adjustment;4.5;14;20;3.196347032
3-year adjustment;5;12;21;2.739726027
3-year adjustment;5.5;7;22;1.598173516
3-year adjustment;6;5;23;1.141552511
3-year adjustment;6.5;3;24;0.684931507
3-year adjustment;7;4;25;0.913242009
3-year adjustment;7.5;4;26;0.913242009
3-year adjustment;8;5;27;1.141552511
3-year adjustment;More;10;28;2.283105023
3-year average level;Less;12;1;2.708803612
3-year average level;-4.5;3;2;0.677200903
3-year average level;-4;9;3;2.031602709
3-year average level;-3.5;13;4;2.934537246
3-year average level;-3;8;5;1.805869074
3-year average level;-2.5;14;6;3.16027088
3-year average level;-2;9;7;2.031602709
3-year average level;-1.5;18;8;4.063205418
3-year average level;-1;22;9;4.966139955
3-year average level;-0.5;13;10;2.934537246
3-year average level;0;15;11;3.386004515
3-year average level;0.5;17;12;3.837471783
3-year average level;1;23;13;5.191873589
3-year average level;1.5;30;14;6.772009029
3-year average level;2;28;15;6.320541761
3-year average level;2.5;26;16;5.869074492
3-year average level;3;32;17;7.223476298
3-year average level;3.5;28;18;6.320541761
3-year average level;4;25;19;5.643340858
3-year average level;4.5;25;20;5.643340858
3-year average level;5;13;21;2.934537246
3-year average level;5.5;17;22;3.837471783
3-year average level;6;10;23;2.257336343
3-year average level;6.5;11;24;2.483069977
3-year average level;7;8;25;1.805869074
3-year average level;7.5;4;26;0.902934537
3-year average level;8;1;27;0.225733634
3-year average level;More;9;28;2.031602709
